site,date,iupac_name,pubchem_cid,value,loq,lod,censored
Lind 1,2015-05-20,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-06-19,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-06-19,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-07-13,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-07-13,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-08-14,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-08-14,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-08-26,Cadmium,23973,9.78560626278801e-10,2.9653352311478815e-9,8.896005693443645e-10,interval
Stasjon 4,2015-06-25,Cadmium,23973,1.450048928031314e-9,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 4,2015-08-14,Cadmium,23973,1.779201138688729e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 4,2015-09-21,Cadmium,23973,2.4908815941642205e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-05-20,Cadmium,23973,3.113601992705276e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-06-25,Cadmium,23973,2.8467218219019663e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-08-14,Cadmium,23973,1.779201138688729e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-09-21,Cadmium,23973,7.383684725558225e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 4,2015-05-20,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 4,2015-06-25,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 4,2015-08-14,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 4,2015-09-21,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-05-20,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-06-25,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-08-14,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-09-21,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
So 7/2,2015-01-14,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
Lind 1,2015-01-14,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
So 7/2,2015-02-12,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
Lind 1,2015-02-12,Copper,23978,7.710464201416208e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-03-13,Copper,23978,1.3060582218725413e-8,2.0980854969840023e-8,6.294256490952007e-9,interval
Lind 1,2015-03-13,Copper,23978,8.025177025963809e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-08-26,Copper,23978,2.045633359559402e-8,2.0980854969840023e-8,6.294256490952007e-9,interval
Lind 1,2015-08-26,Copper,23978,1.5106215578284814e-8,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-09-21,Copper,23978,2.202989771833202e-8,2.0980854969840023e-8,6.294256490952007e-9,none
Lind 1,2015-09-21,Copper,23978,8.182533438237608e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-10-20,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
Lind 1,2015-10-20,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
So 7/2,2015-11-18,Copper,23978,1.085759244689221e-8,2.0980854969840023e-8,6.294256490952007e-9,interval
Lind 1,2015-11-18,Copper,23978,9.59874114870181e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-12-15,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
Lind 1,2015-12-15,Copper,23978,4.091266719118804e-8,2.0980854969840023e-8,6.294256490952007e-9,none
Stasjon 4,2015-05-20,Copper,23978,6.357199055861527e-9,4.720692368214004e-10,1.4162077104642015e-10,none
So 7/2,2015-04-22,Copper,23978,3.9339103068450045e-8,2.0980854969840023e-8,6.294256490952007e-9,none
Lind 1,2015-04-22,Copper,23978,4.2486231313926046e-8,2.0980854969840023e-8,6.294256490952007e-9,none
So 7/2,2015-05-20,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
Lind 1,2015-05-20,Copper,23978,9.59874114870181e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-06-19,Copper,23978,8.339889850511409e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
Lind 1,2015-06-19,Copper,23978,7.081038552321008e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-07-13,Copper,23978,1.1329661683713612e-8,2.0980854969840023e-8,6.294256490952007e-9,interval
Lind 1,2015-07-13,Copper,23978,6.608969315499607e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
So 7/2,2015-08-14,Copper,23978,9.59874114870181e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
Lind 1,2015-08-14,Copper,23978,1.085759244689221e-8,2.0980854969840023e-8,6.294256490952007e-9,interval
Stasjon 4,2015-06-25,Copper,23978,8.21400472069237e-9,4.720692368214004e-10,1.4162077104642015e-10,none
Stasjon 4,2015-08-14,Copper,23978,5.129819040125886e-9,4.720692368214004e-10,1.4162077104642015e-10,none
Stasjon 4,2015-09-21,Copper,23978,7.301337529504328e-9,4.720692368214004e-10,1.4162077104642015e-10,none
Stasjon 5,2015-05-20,Copper,23978,4.3902439024390255e-9,4.720692368214004e-10,1.4162077104642015e-10,none
Stasjon 5,2015-06-25,Copper,23978,4.956726986624705e-9,4.720692368214004e-10,1.4162077104642015e-10,none
Stasjon 5,2015-08-14,Copper,23978,5.381589299763966e-9,4.720692368214004e-10,1.4162077104642015e-10,none
Stasjon 5,2015-09-21,Copper,23978,6.042486231313926e-9,4.720692368214004e-10,1.4162077104642015e-10,none
So 7/2,2015-01-14,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-01-14,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-02-12,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-02-12,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-03-13,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-08-26,Mercury,23931,5.982352061418814e-11,1.6617644615052262e-10,4.9852933845156786e-11,interval
Lind 1,2015-08-26,Mercury,23931,1.39588214766439e-10,1.6617644615052262e-10,4.9852933845156786e-11,interval
So 7/2,2015-09-21,Mercury,23931,9.970586769031357e-11,1.6617644615052262e-10,4.9852933845156786e-11,interval
Lind 1,2015-09-21,Mercury,23931,1.1964704122837628e-10,1.6617644615052262e-10,4.9852933845156786e-11,interval
So 7/2,2015-10-20,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-10-20,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-11-18,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-11-18,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-12-15,Mercury,23931,5.982352061418814e-11,1.6617644615052262e-10,4.9852933845156786e-11,interval
Lind 1,2015-12-15,Mercury,23931,1.4457350815095468e-10,1.6617644615052262e-10,4.9852933845156786e-11,interval
Stasjon 4,2015-05-20,Mercury,23931,3.988234707612543e-11,4.985293384515679e-12,1.4955880153547036e-12,none
Lind 1,2015-03-13,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-04-22,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-04-22,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-05-20,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-05-20,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-06-19,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-06-19,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-07-13,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
Lind 1,2015-07-13,Mercury,23931,4.9852933845156786e-11,1.6617644615052262e-10,4.9852933845156786e-11,left
So 7/2,2015-08-14,Mercury,23931,1.3460292138192333e-10,1.6617644615052262e-10,4.9852933845156786e-11,interval
Lind 1,2015-08-14,Mercury,23931,4.686175781444738e-10,1.6617644615052262e-10,4.9852933845156786e-11,none
Stasjon 4,2015-06-25,Mercury,23931,2.991176030709407e-11,4.985293384515679e-12,1.4955880153547036e-12,none
Stasjon 4,2015-08-14,Mercury,23931,1.4955880153547035e-11,4.985293384515679e-12,1.4955880153547036e-12,none
Stasjon 4,2015-09-21,Mercury,23931,4.985293384515679e-12,4.985293384515679e-12,1.4955880153547036e-12,interval
Stasjon 5,2015-05-20,Mercury,23931,2.4926466922578393e-11,4.985293384515679e-12,1.4955880153547036e-12,none
Stasjon 5,2015-06-25,Mercury,23931,4.985293384515679e-12,4.985293384515679e-12,1.4955880153547036e-12,interval
Stasjon 5,2015-08-14,Mercury,23931,4.985293384515679e-12,4.985293384515679e-12,1.4955880153547036e-12,interval
Stasjon 5,2015-09-21,Mercury,23931,4.985293384515679e-12,4.985293384515679e-12,1.4955880153547036e-12,interval
Stasjon 4,2015-05-20,Nickel,935,4.549094440563611e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
Stasjon 4,2015-06-25,Nickel,935,3.867582164823744e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
Stasjon 4,2015-08-14,Nickel,935,2.691973489172474e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
Stasjon 4,2015-09-21,Nickel,935,3.1008808546163937e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
Stasjon 5,2015-05-20,Nickel,935,3.816468744143254e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
Stasjon 5,2015-06-25,Nickel,935,4.3787163716286435e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
Stasjon 5,2015-08-14,Nickel,935,3.032729627042407e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
Stasjon 5,2015-09-21,Nickel,935,3.1008808546163937e-9,1.3630245514797336e-9,4.0890736544392006e-10,none
So 7/2,2015-01-14,Lead,5352425,2.608695652173913e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-01-14,Lead,5352425,2.3188405797101447e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-02-12,Lead,5352425,1.932367149758454e-9,6.441223832528181e-9,1.932367149758454e-9,left
Lind 1,2015-02-12,Lead,5352425,2.463768115942029e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-03-13,Lead,5352425,4.154589371980677e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-03-13,Lead,5352425,3.285024154589372e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-08-26,Lead,5352425,1.9806763285024154e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-08-26,Lead,5352425,2.1256038647342996e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-09-21,Lead,5352425,4.347826086956522e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-09-21,Lead,5352425,2.0289855072463766e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-10-20,Lead,5352425,3.3816425120772947e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-10-20,Lead,5352425,1.78743961352657e-9,6.441223832528181e-9,1.932367149758454e-9,left
So 7/2,2015-11-18,Lead,5352425,2.9468599033816424e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-11-18,Lead,5352425,2.560386473429952e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-12-15,Lead,5352425,3.140096618357488e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-12-15,Lead,5352425,1.2077294685990339e-8,6.441223832528181e-9,1.932367149758454e-9,none
So 7/2,2015-04-22,Lead,5352425,4.057971014492753e-9,6.441223832528181e-9,1.932367149758454e-9,interval
Lind 1,2015-04-22,Lead,5352425,5.797101449275362e-9,6.441223832528181e-9,1.932367149758454e-9,interval
So 7/2,2015-05-20,Lead,5352425,1.6908212560386473e-9,6.441223832528181e-9,1.932367149758454e-9,left
