site,date,iupac_name,pubchem_cid,value,loq,lod,censored
ALN 125x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",6294,1.0406250000000001e-12,3.46875e-12,1.0406250000000001e-12,left
ALN 136x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",6294,1.0406250000000001e-12,3.46875e-12,1.0406250000000001e-12,left
HOV 122z,2016-11-01,triethyl phosphate,6535,3.15478810121996e-9,NA,NA,none
ALN 138x,2016-11-01,triethyl phosphate,6535,1.2252110451395193e-9,NA,NA,none
ALN 125x,2016-11-01,triethyl phosphate,6535,1.1206931164829368e-9,NA,NA,none
HOV 122z,2016-11-01,tris(2-ethylhexyl) phosphate,6537,3.5983117512456577e-12,NA,NA,none
ALN 138x,2016-11-01,tris(2-ethylhexyl) phosphate,6537,1.3805798435342843e-12,4.601932811780948e-12,1.3805798435342843e-12,left
ALN 125x,2016-11-01,tris(2-ethylhexyl) phosphate,6537,1.1863519671505207e-11,NA,NA,none
ALN 136x,2016-11-01,tris(2-ethylhexyl) phosphate,6537,1.2856773336257575e-11,NA,NA,none
HOV 122z,2016-11-01,tris(2-butoxyethyl) phosphate,6540,1.0510767495566426e-9,NA,NA,none
ALN 138x,2016-11-01,tris(2-butoxyethyl) phosphate,6540,2.6234593842949177e-10,NA,NA,none
ALN 125x,2016-11-01,tris(2-butoxyethyl) phosphate,6540,5.289106245989379e-10,NA,NA,none
ALN 136x,2016-11-01,tris(2-butoxyethyl) phosphate,6540,2.7360914898963167e-9,NA,NA,none
HOV 122z,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,7.991369321133176e-13,2.663789773711059e-12,7.991369321133176e-13,left
ALN 138x,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,2.3345766572102126e-11,NA,NA,none
ALN 125x,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,2.8934279378271467e-11,NA,NA,none
ALN 136x,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,1.2499016106604865e-9,NA,NA,none
HOV 122z,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
ALN 138x,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
ALN 125x,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
ALN 136x,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
HOV 122z,2016-11-01,triphenyl phosphate,8289,6.129328838492186e-11,2.0431096128307283e-10,6.129328838492186e-11,left
ALN 138x,2016-11-01,triphenyl phosphate,8289,2.774774524558838e-10,NA,NA,none
ALN 125x,2016-11-01,triphenyl phosphate,8289,2.0544686530261e-10,NA,NA,none
ALN 136x,2016-11-01,triphenyl phosphate,8289,4.0810147013590495e-10,NA,NA,none
HOV 122z,2016-11-01,tris(2-chloroethyl) phosphate,8295,1.8530349341263177e-10,NA,NA,none
ALN 138x,2016-11-01,tris(2-chloroethyl) phosphate,8295,6.322507967229821e-11,NA,NA,none
ALN 125x,2016-11-01,tris(2-chloroethyl) phosphate,8295,3.58114086540411e-10,NA,NA,none
HOV 122z,2016-11-01,"1,2,3,4,5,6-hexachlorobenzene",8370,4.705056179775281e-12,1.5683520599250937e-11,4.705056179775281e-12,left
ALN 138x,2016-11-01,"1,2,3,4,5,6-hexachlorobenzene",8370,4.705056179775281e-12,1.5683520599250937e-11,4.705056179775281e-12,left
ALN 125x,2016-11-01,"1,2,3,4,5,6-hexachlorobenzene",8370,4.705056179775281e-12,1.5683520599250937e-11,4.705056179775281e-12,left
ALN 136x,2016-11-01,"1,2,3,4,5,6-hexachlorobenzene",8370,4.705056179775281e-12,1.5683520599250937e-11,4.705056179775281e-12,left
HOV 122z,2016-11-01,"4-(2,4,4-trimethylpentan-2-yl)phenol",8814,1.3540990209383483e-10,NA,NA,none
ALN 138x,2016-11-01,"4-(2,4,4-trimethylpentan-2-yl)phenol",8814,2.3007006930981e-10,NA,NA,none
ALN 125x,2016-11-01,"4-(2,4,4-trimethylpentan-2-yl)phenol",8814,3.373735590345095e-10,NA,NA,none
ALN 136x,2016-11-01,"4-(2,4,4-trimethylpentan-2-yl)phenol",8814,2.08556423516867e-10,NA,NA,none
HOV 122z,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",9554,6.158379018040427e-12,4.02508432551662e-12,1.2075252976549859e-12,none
ALN 138x,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",9554,5.9168739585094306e-12,4.02508432551662e-12,1.2075252976549859e-12,none
ALN 125x,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",9554,1.1688844881300263e-11,4.02508432551662e-12,1.2075252976549859e-12,none
ALN 136x,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",9554,5.095756756104041e-12,4.02508432551662e-12,1.2075252976549859e-12,none
HOV 122z,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",9555,1.1865857454092747e-12,3.2420375557630457e-12,9.726112667289138e-13,interval
ALN 138x,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",9555,9.726112667289138e-13,3.2420375557630457e-12,9.726112667289138e-13,left
ALN 125x,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",9555,9.726112667289138e-13,3.2420375557630457e-12,9.726112667289138e-13,left
ALN 136x,2016-11-01,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",9555,9.726112667289138e-13,3.2420375557630457e-12,9.726112667289138e-13,left
HOV 122z,2016-11-01,tripropyl phosphate,10546,4.4597065513089243e-13,1.4865688504363082e-12,4.4597065513089243e-13,left
ALN 138x,2016-11-01,tripropyl phosphate,10546,4.4597065513089243e-13,1.4865688504363082e-12,4.4597065513089243e-13,left
ALN 125x,2016-11-01,tripropyl phosphate,10546,4.4597065513089243e-13,1.4865688504363082e-12,4.4597065513089243e-13,left
HOV 122z,2016-11-01,"1,2,3,4,5-pentachlorobenzene",11855,3.4598481821813824e-12,1.1532827273937941e-11,3.4598481821813824e-12,left
ALN 138x,2016-11-01,"1,2,3,4,5-pentachlorobenzene",11855,3.4598481821813824e-12,1.1532827273937941e-11,3.4598481821813824e-12,left
ALN 125x,2016-11-01,"1,2,3,4,5-pentachlorobenzene",11855,3.4598481821813824e-12,1.1532827273937941e-11,3.4598481821813824e-12,left
ALN 136x,2016-11-01,"1,2,3,4,5-pentachlorobenzene",11855,3.4598481821813824e-12,1.1532827273937941e-11,3.4598481821813824e-12,left
HOV 122z,2016-11-01,4-[(4-hydroxyphenyl)methyl]phenol,12111,3.995405283923488e-10,1.3318017613078295e-9,3.995405283923488e-10,left
ALN 138x,2016-11-01,4-[(4-hydroxyphenyl)methyl]phenol,12111,3.995405283923488e-10,1.3318017613078295e-9,3.995405283923488e-10,left
ALN 125x,2016-11-01,4-[(4-hydroxyphenyl)methyl]phenol,12111,3.995405283923488e-10,1.3318017613078295e-9,3.995405283923488e-10,left
ALN 136x,2016-11-01,4-[(4-hydroxyphenyl)methyl]phenol,12111,3.995405283923488e-10,1.3318017613078295e-9,3.995405283923488e-10,left
HOV 122z,2016-11-01,"1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",13089,4.4005641748942173e-13,1.4668547249647393e-12,4.4005641748942173e-13,left
ALN 138x,2016-11-01,"1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",13089,4.4005641748942173e-13,1.4668547249647393e-12,4.4005641748942173e-13,left
ALN 125x,2016-11-01,"1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",13089,4.4005641748942173e-13,1.4668547249647393e-12,4.4005641748942173e-13,left
ALN 136x,2016-11-01,"1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",13089,4.4005641748942173e-13,1.4668547249647393e-12,4.4005641748942173e-13,left
HOV 122z,2016-11-01,"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene",14410,9.163886572143453e-13,3.0546288573811507e-12,9.163886572143453e-13,left
ALN 138x,2016-11-01,"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene",14410,1.025854879065888e-12,NA,NA,none
ALN 125x,2016-11-01,"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene",14410,1.3031693077564637e-12,NA,NA,none
ALN 136x,2016-11-01,"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene",14410,9.163886572143453e-13,3.0546288573811507e-12,9.163886572143453e-13,left
HOV 122z,2016-11-01,2-ethylhexyl diphenyl phosphate,14716,3.222520940697719e-11,NA,NA,none
ALN 138x,2016-11-01,2-ethylhexyl diphenyl phosphate,14716,2.75431945249751e-11,NA,NA,none
ALN 125x,2016-11-01,2-ethylhexyl diphenyl phosphate,14716,5.862556229000857e-11,NA,NA,none
ALN 136x,2016-11-01,2-ethylhexyl diphenyl phosphate,14716,1.2488496852215808e-10,NA,NA,none
HOV 122z,2016-11-01,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",16318,1.4039310068190934e-14,4.679770022730311e-14,1.4039310068190934e-14,left
ALN 138x,2016-11-01,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",16318,1.4039310068190934e-14,4.679770022730311e-14,1.4039310068190934e-14,left
ALN 125x,2016-11-01,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",16318,1.4039310068190934e-14,4.679770022730311e-14,1.4039310068190934e-14,left
ALN 136x,2016-11-01,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",16318,1.4039310068190934e-14,4.679770022730311e-14,1.4039310068190934e-14,left
HOV 122z,2016-11-01,"2,4-dichloro-1-(2,4-dichlorophenyl)benzene",17097,5.068493150684931e-13,1.6894977168949773e-12,5.068493150684931e-13,left
ALN 138x,2016-11-01,"2,4-dichloro-1-(2,4-dichlorophenyl)benzene",17097,5.068493150684931e-13,1.6894977168949773e-12,5.068493150684931e-13,left
ALN 125x,2016-11-01,"2,4-dichloro-1-(2,4-dichlorophenyl)benzene",17097,5.068493150684931e-13,1.6894977168949773e-12,5.068493150684931e-13,left
